game,league,season,team_name,player,jersey_number,pos,match_name
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Eric García,24,CM,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,LW,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,LM,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Gavi,30,RM,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Jules Koundé,23,CB,Barcelona-Mallorca
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Ángel Alarcón,38,RW,Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Athletic Club-Barcelona
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,RB,Barcelona-Mallorca
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Athletic Club-Barcelona
2022-10-09 Barcelona-Celta Vigo,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,RB,Barcelona-Celta de Vigo
2022-08-28 Barcelona-Valladolid,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Barcelona-Real Valladolid
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Eric García,24,CB,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Ansu Fati,10,FW,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,LB,Barcelona-Getafe
2022-09-03 Sevilla-Barcelona,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Sevilla-Barcelona
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,DM,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Ronald Araújo,4,CB,Barcelona-Osasuna
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Franck Kessié,19,RM,Barcelona-Getafe
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Pedri,8,"AM,DM",Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,RW,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Jules Koundé,23,RB,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Gavi,30,LW,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,DM,Barcelona-Osasuna
2023-05-02 Barcelona-Osasuna,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Barcelona-Osasuna
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Gavi,30,LM,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Barcelona-Getafe
2023-01-22 Barcelona-Getafe,ESP-La Liga,2223,Barcelona,Jules Koundé,23,"CB,RB",Barcelona-Getafe
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Athletic Club
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,CB,Barcelona-Athletic Club
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,RW,Barcelona-Athletic Club
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Pablo Torre,32,RW,Barcelona-Athletic Club
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Pedri,8,LW,Barcelona-Athletic Club
2022-10-23 Barcelona-Athletic Club,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Barcelona-Athletic Club
